RHEA:12588	Ganglio
RHEA:47560	Ganglio
RHEA:41960	Ganglio
RHEA:79803	Ganglio
RHEA:41764	Ganglio
RHEA:47584	Ganglio
RHEA:47568	Ganglio
RHEA:47588	Ganglio
RHEA:41768	Ganglio
RHEA:47580	Ganglio
RHEA:47576	Ganglio
RHEA:41976	Ganglio
RHEA:77687	Ganglio
RHEA:47592	Ganglio
RHEA:41816	Ganglio
RHEA:79807	Ganglio
RHEA:41760	Ganglio
RHEA:77695	Ganglio
RHEA:41772	Ganglio
RHEA:18417	Ganglio
RHEA:77699	Ganglio
RHEA:79799	Ganglio
RHEA:16773	Ganglio
RHEA:18021	Ganglio
RHEA:47572	Ganglio
RHEA:79751	Ganglio
RHEA:42040	Ganglio
RHEA:79743	Ganglio
RHEA:77703	Ganglio
RHEA:77691	Ganglio
RHEA:31499	Neolacto
RHEA:23004	Neolacto
RHEA:41936	Neolacto
RHEA:48304	Neolacto
RHEA:48332	Neolacto
RHEA:18913	Neolacto
RHEA:77715	Neolacto
RHEA:11924	Globo and Isoblobo
RHEA:22252	Globo and Isoblobo
RHEA:77683	Globo and Isoblobo
RHEA:41996	Globo and Isoblobo
RHEA:42044	Globo and Isoblobo
RHEA:77667	Globo and Isoblobo
RHEA:22164	Globo and Isoblobo
RHEA:77671	Globo and Isoblobo
RHEA:77679	Globo and Isoblobo
RHEA:42000	Globo and Isoblobo
RHEA:13905	Lacto
RHEA:16045	Lacto
RHEA:32175	Lacto
RHEA:48328	Lacto
RHEA:47884	Lacto
RHEA:47892	Lacto
RHEA:47888	Lacto
RHEA:78319	Lacto
